data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2004-04-30,173.0625,163.58333333333334,159.265625,115.77083333333333,135.0,163.6375,149.3125,119.29166666666667,173.375,164.0625,117.1875,127.8125,119.8125,137.1875,129.5625,133.609375,181.65625,157.40625,202.71875,33.5
2004-05-31,34.0625,32.291666666666664,17.0,17.541666666666668,24.0,22.875,29.416666666666668,18.75,17.6875,28.125,21.5625,30.25,19.166666666666668,24.791666666666668,11.041666666666666,10.4375,21.375,28.8125,33.75,0.0
2004-06-30,25.6875,13.916666666666666,13.8125,7.166666666666667,9.05,13.025,7.625,4.75,3.4375,5.3125,4.9375,4.375,5.416666666666667,6.541666666666667,1.8333333333333333,4.65625,2.375,2.4375,0.5,0.0
2004-07-31,24.6875,23.875,30.1875,17.541666666666668,43.125,32.4,44.625,13.583333333333334,32.625,40.8125,23.125,20.125,30.791666666666668,40.958333333333336,12.25,19.84375,20.8125,23.4375,26.875,0.0
2004-08-31,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,1.0416666666666667,0.21875,0.875,0.1875,0.3125,0.0
2004-09-30,39.3125,33.708333333333336,46.5,31.666666666666668,27.55,39.075,36.166666666666664,49.541666666666664,19.4375,19.0625,43.375,48.0,49.041666666666664,26.291666666666668,22.75,28.84375,40.0,20.3125,23.5,0.0
2004-10-31,151.375,184.95833333333334,196.1875,175.95833333333334,185.5,216.25,227.875,180.33333333333334,231.25,245.125,226.0,216.5,206.25,217.0,288.9583333333333,272.9375,279.9375,235.8125,302.3125,139.0
2004-11-30,303.46875,265.1666666666667,269.515625,230.89583333333334,241.625,240.275,201.91666666666666,183.64583333333334,153.4375,156.25,180.28125,193.6875,210.04166666666666,164.02083333333334,146.14583333333334,131.546875,146.09375,152.84375,157.28125,194.9
2004-12-31,135.75,158.54166666666666,204.359375,179.95833333333334,191.5,198.225,198.66666666666666,181.625,163.5,168.875,144.0625,149.25,166.20833333333334,190.0,230.45833333333334,150.0,155.3125,154.625,153.75,124.3
2005-01-31,241.21875,269.7083333333333,301.984375,257.125,257.7375,279.925,278.7916666666667,295.6875,277.5625,207.53125,217.4375,252.0625,285.0833333333333,241.22916666666666,262.3125,254.203125,247.1875,236.3125,265.8125,285.8
2005-02-28,121.96875,148.47916666666666,204.5625,153.77083333333334,162.675,160.1,151.375,134.75,203.15625,192.65625,176.34375,149.625,138.91666666666666,142.1875,167.60416666666666,179.984375,232.9375,167.6875,185.15625,116.84
2005-03-31,209.15625,222.02083333333334,213.34375,223.625,216.8125,207.1375,246.5,239.72916666666666,246.40625,268.4375,226.96875,241.375,226.70833333333334,286.4583333333333,207.39583333333334,203.015625,240.5,260.4375,215.9375,135.2
2005-04-30,67.28125,66.8125,77.90625,101.45833333333333,96.85,83.0,102.29166666666667,119.72916666666667,82.46875,95.625,91.28125,118.625,108.35416666666667,86.875,61.270833333333336,78.25,73.21875,65.1875,64.125,129.6
2005-05-31,10.6875,9.708333333333334,9.3125,12.5,12.75,11.025,10.041666666666666,2.9583333333333335,3.75,2.375,2.1875,2.125,4.75,4.958333333333333,0.4583333333333333,1.8125,0.5625,1.5,1.4375,35.7
2005-06-30,21.3125,25.708333333333332,21.125,17.666666666666668,21.1,23.725,23.416666666666668,16.916666666666668,28.5,27.0,24.5,20.5,18.583333333333332,23.833333333333332,43.666666666666664,31.1875,36.5,28.25,32.625,0.0
2005-07-31,5.875,8.625,4.65625,6.875,8.95,9.35,10.958333333333334,4.541666666666667,13.9375,13.3125,11.5,9.75,8.916666666666666,11.0,15.416666666666666,12.9375,16.125,14.125,16.25,0.0
2005-08-31,0.0625,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,1.9375,1.75,0.75,0.0,0.0,0.0,1.125,0.34375,1.625,1.6875,2.0,0.0
2005-09-30,84.25,102.25,105.03125,80.0,92.55,96.35,104.20833333333333,116.29166666666667,79.4375,103.125,87.375,95.375,89.25,81.625,65.95833333333333,82.15625,75.625,75.6875,126.1875,125.2
2005-10-31,152.6875,190.08333333333334,113.4375,79.625,94.575,145.975,111.41666666666667,78.33333333333333,95.0625,87.6875,55.6875,56.25,68.25,84.5,84.95833333333333,86.78125,75.5625,72.0625,86.1875,202.2
2005-11-30,180.78125,186.79166666666666,140.90625,180.35416666666666,164.875,196.4125,224.95833333333334,153.77083333333334,207.5625,207.25,179.21875,150.3125,175.72916666666666,214.95833333333334,272.2708333333333,186.84375,244.625,216.25,230.6875,221.5
2005-12-31,334.0625,366.25,333.078125,367.6458333333333,339.3375,353.8125,413.9375,436.2083333333333,422.53125,429.28125,475.625,498.6875,400.7708333333333,423.5625,482.5833333333333,491.953125,439.03125,464.71875,413.5,621.6
2006-01-31,204.90625,178.1875,171.65625,191.9375,194.2125,174.15,241.625,193.95833333333334,203.15625,212.25,243.0625,216.0625,217.9375,226.35416666666666,236.08333333333334,246.765625,199.0625,215.0625,203.8125,238.62
2006-02-28,196.625,206.14583333333334,163.859375,178.27083333333334,173.55,212.525,201.25,162.20833333333334,159.625,168.9375,191.875,178.4375,190.89583333333334,199.95833333333334,196.4375,188.59375,175.65625,182.3125,174.875,242.4
2006-03-31,299.40625,304.6041666666667,281.9375,297.25,291.0625,283.8125,332.5,315.75,328.625,312.0625,305.25,323.6875,317.4583333333333,336.1875,210.85416666666666,298.140625,229.5625,269.09375,255.625,274.2
2006-04-30,135.25,126.25,112.28125,84.91666666666667,104.875,112.275,105.54166666666667,85.20833333333333,97.5625,83.5625,80.4375,84.125,82.0,81.79166666666667,91.5,94.40625,77.0,78.6875,91.8125,102.6
2006-05-31,11.6875,13.458333333333334,11.15625,10.083333333333334,15.5,17.75,19.916666666666668,9.666666666666666,19.875,18.5625,17.8125,12.75,12.208333333333334,16.833333333333332,22.541666666666668,18.40625,21.75,19.3125,23.625,7.5
2006-06-30,0.4375,2.25,3.1875,4.208333333333333,3.9625,3.55,4.458333333333333,3.875,5.5625,5.75,5.75,5.0,4.75,5.125,9.416666666666666,6.9375,8.0,6.625,6.875,0.0
2006-07-31,15.9375,12.5,11.5,6.0,7.875,10.275,6.708333333333333,4.0,2.1875,0.0,0.25,0.25,2.75,4.958333333333333,0.4166666666666667,0.25,0.375,0.375,0.25,0.0
